time,h1,h2,h3,C.O.P,Tevwi,Tcdwi,operation_num,running_time
1554958775.0,405.45661701136436,426.2404380456896,242.7396821951827,7.8290192427777745,17.2,27.4,61.0,18868.0
1554958896.0,405.45808845995975,425.85012740273413,241.87063514121115,8.022123426589163,17.2,26.3,61.0,18870.0
1554959016.0,405.80265959011047,425.22806147332403,243.7556378165327,8.342016435377362,17.2,27.5,61.0,18872.0
1554959136.0,405.90244007272855,425.3463874898296,244.92057069259687,8.27927919813994,17.2,27.9,61.0,18874.0
1554959256.0,405.73661939984123,425.6355797600201,246.23341237161938,8.01565529762118,17.2,29.2,61.0,18876.0
1554959376.0,405.8609842347625,425.9125182421982,246.96417244920193,7.924421728863076,17.2,29.8,61.0,18878.0
1554959496.0,405.1796558069647,426.53338232463625,245.0663823486673,7.4981419906166575,17.2,28.9,61.0,18880.0
1554959616.0,405.5330517185268,426.2404380456896,243.03001082581864,7.847588214430798,17.2,27.4,61.0,18882.0
1554959737.0,405.65753556767487,426.0285553592005,242.0154623423191,8.033082040076913,17.2,26.4,61.0,18884.0
1554959857.0,405.86370466091506,425.46148148438215,243.46593798260972,8.286540261232318,17.2,26.5,61.0,18886.0
1554960183.0,405.92732837865066,425.703923427181,247.54984279497313,8.00832930011616,17.2,30.2,61.0,18888.0
1554960296.0,404.8785867787088,426.5563218194935,244.04696766627484,7.419207717496472,17.2,28.3,61.0,18890.0
1554960416.0,405.6845414561471,426.28277131705187,242.59489674287266,7.917653401024383,17.2,27.2,61.0,18892.0
1554960537.0,405.44485992946755,425.8704625199836,241.72585509205706,8.01538187732232,17.2,26.3,61.0,18894.0
1554960657.0,405.9521941062434,425.2758476173693,243.75628896384413,8.393645903918326,17.2,26.7,61.0,18896.0
1554960778.0,405.3697756503496,425.43847718804767,245.3573134902123,7.973234434702314,17.1,28.4,61.0,18898.0
1554960898.0,405.9521941062434,425.6879624154172,247.11065106187098,8.048409393341823,17.1,29.7,61.0,18900.0
1554961021.0,404.727772087795,426.61000004360085,245.2112151300242,7.289776766787021,17.1,29.6,61.0,18902.0
1554961305.0,405.5330517185268,425.9494910237945,241.7258197351638,8.023300710476905,17.1,26.2,61.0,18904.0
1554961425.0,406.1327042458005,425.1689941644892,244.19231324610834,8.50693027325186,17.1,27.3,61.0,18906.0
1554961666.0,406.0158542938848,425.62527316560636,247.2570027395178,8.096050810731079,17.0,29.7,61.0,18910.0
1554961787.0,404.82792865009765,426.6485982921916,245.94093320001969,7.28149035094557,17.0,30.0,61.0,18912.0
1554961912.0,405.15461067312356,426.45752997273775,243.465420998424,7.590001511089972,17.0,27.7,61.0,18914.0
1554962029.0,405.5944115931799,426.2642247003145,241.8703058935737,7.920928208252333,17.1,27.0,61.0,18916.0
1554962148.0,405.73661939984123,425.49058554220886,242.3052586800871,8.273344175134135,17.0,26.1,61.0,18918.0
1554962269.0,406.1681271107748,425.00239096684487,244.6288448083568,8.57688325579849,17.0,28.0,61.0,18920.0
1554962388.0,405.50970965720575,425.51332598030353,245.94085752124784,7.977000236287619,17.0,29.0,61.0,18922.0
1554962509.0,405.9353341373335,425.8686862657446,247.40339994834687,7.9530995673843625,17.0,30.1,61.0,18924.0
1554962630.0,404.7285585422409,426.7172937574769,243.61069614055933,7.327291034458533,17.0,28.3,61.0,18926.0
1554962750.0,405.54465172635247,426.1849399856367,242.45005918953242,7.9017594370785185,17.0,27.0,61.0,18928.0
1554962871.0,405.46984207443074,425.7507488529342,241.7258197351638,8.073801833793045,17.0,26.1,61.0,18930.0
1554962991.0,405.90244007272855,425.1689941644892,244.19231324610834,8.393308219853159,17.0,27.5,61.0,18932.0
1554963112.0,405.6867148310906,425.2956116055463,245.0653093431775,8.19125151891019,17.0,28.4,61.0,18934.0
1554963232.0,405.5330517185268,425.627848723957,246.81774523792416,7.898328429877298,17.0,29.7,61.0,18936.0
1554963534.0,405.5695429333671,426.16277910709294,242.73995028062708,7.906945332880131,17.0,27.1,61.0,18938.0
1554963654.0,405.49480137194524,425.7507488529342,241.58105413319888,8.092129355715722,17.0,26.1,61.0,18940.0
1554963775.0,405.92732837865066,425.27270865974424,244.3382402993451,8.352851467966644,17.0,27.1,61.0,18942.0
1554963895.0,405.6845414561471,425.49804925101176,245.35717378591494,8.091821464939514,17.0,28.5,61.0,18944.0
1554964015.0,405.92732837865066,425.58868712505773,247.1110901389055,8.077582037343538,17.0,29.5,61.0,18946.0
1554964136.0,404.9285223495684,426.7313629506422,245.50325684029144,7.312132782433182,17.0,29.8,61.0,18948.0
1554964257.0,405.3055505222578,426.3183636479906,243.46557568813563,7.701966122562088,17.0,27.6,61.0,18950.0
1554964379.0,405.2304488274878,425.88850846718447,241.72571388328728,7.914815708538723,17.0,26.5,61.0,18952.0
1554964497.0,405.40799796675,425.3880752037938,241.87034233014447,8.185036208638923,17.0,26.2,61.0,18954.0
1554964617.0,405.86370466091506,425.26642812810275,244.62903331349307,8.30989894898462,17.0,28.0,61.0,18956.0
1554964738.0,405.6867148310906,425.41185360101565,246.08706866815874,8.091179891026888,16.9,28.9,61.0,18958.0
1554964858.0,405.43305476290163,425.60695638372783,247.257359869452,7.840610005263403,16.9,29.7,61.0,18960.0
1554965098.0,405.406686812537,426.2386826029419,243.0297739798192,7.794592244853831,17.0,27.5,61.0,18964.0
1554965218.0,405.2296770623262,426.0488398650506,241.7258197351638,7.8535270066559155,17.0,26.5,61.0,18966.0
1554965338.0,405.92732837865066,425.234458819427,243.61074906062845,8.40707943709813,17.0,27.0,61.0,18968.0
1554965459.0,405.356665015873,425.4056461344673,244.6288448083568,8.016757522827419,17.0,28.0,61.0,18970.0
1554966114.0,405.58477492229895,425.54918549126216,241.7256434976532,8.207561693776329,17.1,26.1,61.0,18972.0
1554966234.0,405.8775291149128,425.061523972458,244.6287193388747,8.405382245638894,17.0,28.0,61.0,18974.0
1554966355.0,405.9382867237169,425.39390529636466,246.23364910353447,8.208664094839289,17.0,28.9,61.0,18976.0
1554966716.0,405.1796558069647,426.2386826029419,242.73945982678885,7.7135661374060485,17.0,27.5,61.0,18982.0
1554966836.0,405.406686812537,425.91334871490403,241.291922106107,8.00299753747275,17.0,25.9,61.0,18984.0
1554966957.0,406.093687662828,425.234458819427,243.75618004954134,8.48124175798001,17.0,27.1,61.0,18986.0
