time,h1,h2,h3,C.O.P,Tevwi,Tcdwi,operation_num,running_time
1550554066.0,405.33053846497774,423.55987653202146,246.086991461182,8.735563870620606,14.3,29.6,24.0,6748.0
1550554187.0,405.53305171852685,423.4560299381791,247.25691356655705,8.830906125770051,14.3,30.3,24.0,6750.0
1550554307.0,405.698093539957,423.8818100180159,246.67203479034512,8.74552014388798,14.3,30.7,24.0,6752.0
1550555177.0,405.4580884599597,423.521042129766,247.25718121685276,8.758307757139065,14.4,30.2,24.0,6762.0
1550555297.0,405.6097507429185,423.55287055720925,247.10986346884587,8.833463127623775,14.4,30.8,24.0,6764.0
1550555417.0,405.01629675015175,423.6278119078145,242.30493268647854,8.74251035906024,14.4,27.6,24.0,6766.0
1550556271.0,405.41985486125253,424.16694002404574,244.1926066095324,8.600123531294503,14.4,29.3,24.0,6776.0
1550556392.0,404.89124524709166,423.6390088372503,241.87059841159095,8.695471651940197,14.4,27.0,24.0,6778.0
1550556512.0,404.5786598988549,423.22111901161713,242.8850054708901,8.673408022511,14.4,26.9,24.0,6780.0
1550556633.0,404.72855854224093,423.5684548318795,243.46547252305515,8.559658903636103,14.4,27.8,24.0,6782.0
1550557482.0,404.6410144754367,423.40983326866564,243.46557568813563,8.587404490550432,14.4,27.6,24.0,6792.0
1550557603.0,404.86587595685614,423.5570377416263,244.33793942703673,8.58844080310835,14.4,28.1,24.0,6794.0
1550557723.0,404.9912235839773,423.6198210663706,245.0657775009008,8.584942920916582,14.4,28.9,24.0,6796.0
1550557843.0,405.2175478635024,423.6618121238073,246.37957194296055,8.611781618331433,14.4,29.6,24.0,6798.0
1550557963.0,405.53305171852685,423.58024312842764,247.40367221288966,8.76199381466556,14.4,30.3,24.0,6800.0
1550558083.0,405.4580884599597,424.0528999799053,245.35675565879453,8.610000301935541,14.3,30.3,24.0,6802.0
1550558203.0,404.79100640305717,423.6911621051464,242.3050546552652,8.597069479688495,14.4,27.4,24.0,6804.0
1550558323.0,404.49265874670687,423.47226635465387,241.14735416520602,8.606358358699994,14.3,26.2,24.0,6806.0
1550559172.0,404.72855854224093,423.6390088372503,242.0154623423191,8.604400935014366,14.4,27.1,24.0,6816.0
1550559292.0,404.5044955641184,423.26987139643927,242.45001706581857,8.635823761077129,14.4,26.6,24.0,6818.0
1550559412.0,404.8161007641362,423.5741495612135,243.1751048758352,8.617154035417942,14.4,27.6,24.0,6820.0
1550560267.0,404.62897246406783,423.35189538147534,243.1750560883806,8.623328584319239,14.4,27.4,24.0,6830.0
1550560387.0,404.90364124299555,423.62095774825724,243.901383598489,8.601781008471303,14.4,28.1,24.0,6832.0
1550560508.0,404.9912235839773,423.61419459015883,245.50332825969159,8.564041434170067,14.4,29.1,24.0,6834.0
1550561362.0,405.07903577690087,423.64121865197717,245.21176260663174,8.612525490465138,14.5,28.8,24.0,6844.0
1550561482.0,405.406686812537,423.70477616973363,245.94093320001969,8.714885499769371,14.5,29.5,24.0,6846.0
1550561603.0,405.6347037221278,423.64509892617247,247.11065106187095,8.801808670175996,14.5,30.2,24.0,6848.0
1550562452.0,405.2805396528738,423.7583185999365,246.5255340189969,8.591671438904948,14.5,29.8,24.0,6858.0
1550562573.0,405.50808686187776,423.67721319261636,247.54993500538083,8.693767051928265,14.5,30.5,24.0,6860.0
1550562693.0,405.18026537252,424.2675644587896,243.75601697050172,8.457155078485625,14.6,29.2,24.0,6862.0
1550563568.0,405.7094263601378,424.30788974341385,245.50361435045482,8.613927328735272,14.6,29.9,24.0,6872.0
1550563688.0,404.67826635608856,423.8489872725537,242.30497330557785,8.469858476269046,14.6,27.3,24.0,6874.0
1550563808.0,404.2424398566085,423.8334263454969,241.14744467011158,8.325001667425028,14.6,26.1,24.0,6876.0
1550564613.0,405.3555035573126,424.1764990086124,243.1751048758352,8.616993670771935,14.6,28.4,24.0,6886.0
1550564733.0,404.5786598988549,423.9224285094731,241.4364359733841,8.43383868001392,14.6,26.8,24.0,6888.0
1550564853.0,404.591844378725,423.5431577651689,242.88505165453876,8.532748597775557,14.6,26.9,24.0,6890.0
1550565708.0,404.6540937518767,424.00613350292997,241.2918906924394,8.441601255523725,14.6,26.6,24.0,6900.0
1550565828.0,404.66616568169746,423.5741495612135,243.1751048758352,8.540892663908759,14.6,27.2,24.0,6902.0
1550565949.0,404.8161007641362,423.8066531052999,243.6106961405593,8.488715953466505,14.6,27.9,24.0,6904.0
1550566829.0,404.5786598988549,423.81198311838995,243.46557568813563,8.376767882062014,14.6,27.7,24.0,6914.0
1550566949.0,405.11635912863676,423.7959691243012,244.62915918426341,8.591571236317199,14.6,28.2,24.0,6916.0
1550567069.0,405.4053654944417,423.89742365810923,245.6493232420113,8.639170439465357,14.6,29.1,24.0,6918.0
1550628158.0,405.7071716285655,424.4311547506449,244.19278310249612,8.626069969888588,16.0,27.4,25.0,6952.0
1550628278.0,405.26758091218255,424.61571439974085,244.77435878684008,8.295023508523307,16.1,28.4,25.0,6954.0
1550628399.0,405.2304488274878,424.865751217457,245.94108468326786,8.112396793318242,16.1,29.4,25.0,6956.0
1550630153.0,405.07903577690087,424.8559383171262,244.919979248828,8.098288202731307,16.4,28.4,25.0,6966.0
1550630273.0,405.2805396528738,424.9882584736111,245.94116048775717,8.085125458429731,16.4,29.3,25.0,6968.0
1550630393.0,405.6731579680537,424.9529612269069,246.9640002626043,8.231886787152373,16.4,30.0,25.0,6970.0
1550630514.0,405.9273283786506,424.9811260872153,248.13626928278129,8.281344302555617,16.4,30.9,25.0,6972.0
1550630634.0,405.003797791011,425.63827414357854,243.61101424295518,7.821510989202964,16.4,28.3,25.0,6974.0
1550630754.0,404.66616568169746,425.47010776431694,242.16025787053871,7.811303606104723,16.4,27.0,25.0,6976.0
1550630875.0,405.3816874019781,424.5776674238594,242.8846832459721,8.465158015937611,16.4,26.8,25.0,6978.0
1550630995.0,405.8637046609151,424.5064164244156,243.90132791110386,8.687704814860027,16.4,28.0,25.0,6980.0
1550631115.0,405.10445100658984,424.82741212231207,245.50297157566376,8.092166206406931,16.4,29.0,25.0,6982.0
1550631235.0,405.406686812537,424.9004964441306,246.3792509011489,8.157842869956628,16.4,29.5,25.0,6984.0
1550631356.0,405.7366193998412,424.9669924176014,247.5497506287948,8.225886654666205,16.4,30.5,25.0,6986.0
1550631477.0,405.5829131204392,425.6278236254549,244.7746799492128,8.022397163159571,16.4,29.2,25.0,6988.0
1550631596.0,405.0413468100737,425.3645166369431,242.73995028062708,7.986027667537716,16.4,27.4,25.0,6990.0
1550632452.0,404.80328445864126,425.52313748655365,243.0302009876957,7.8076366300966145,16.5,27.6,25.0,7000.0
1550632573.0,405.05397960712037,425.2222858437018,241.14744467011158,8.126936045810014,16.5,26.2,25.0,7002.0
1550632693.0,405.68454145614714,424.4521240863516,243.61080201948891,8.635834600020232,16.5,27.4,25.0,7004.0
1550632814.0,405.25465333754255,424.69973571634233,244.62884480835683,8.260484856793907,16.4,28.1,25.0,7006.0
1550633673.0,405.20536871741166,424.69973571634233,244.48312634505123,8.244547893305553,16.5,28.2,25.0,7016.0
1550633794.0,405.68454145614714,424.886791319646,246.0873779172649,8.31137833709044,16.5,29.2,25.0,7018.0
1550633914.0,405.81130591695603,424.8683110756732,247.40349065917005,8.31231423502691,16.5,30.1,25.0,7020.0
1550634763.0,405.557993779664,424.9004964441306,246.52561576181577,8.221913202059422,16.4,29.5,25.0,7030.0
1550634884.0,405.7366193998412,424.8858207684763,247.69661266648544,8.253086052570993,16.4,30.3,25.0,7032.0
1550635004.0,405.3816874019781,425.56577973727934,244.33734066327648,7.978775763775178,16.4,29.3,25.0,7034.0
1550635864.0,405.3447013545485,425.5603828857457,245.0655097381385,7.928458477596446,16.4,29.7,25.0,7044.0
1550635984.0,404.80328445864126,425.3408872157168,242.88482111514477,7.884000156138657,16.4,27.6,25.0,7046.0
1550636105.0,404.90364124299555,425.15749127285187,241.291827972982,8.07805987645961,16.4,26.3,25.0,7048.0
1550636954.0,405.02874426935927,425.37910138886633,243.4657307253876,7.939075102967322,16.3,27.9,25.0,7058.0
1550637074.0,404.90340897578966,425.2504345464244,241.7256434976532,8.01973560762795,16.3,27.0,25.0,7060.0
1550637195.0,405.01629675015175,424.6276256616055,242.8852367681505,8.267214359314064,16.3,26.6,25.0,7062.0
1550638054.0,405.1040688915722,425.01699206692217,241.4364359733841,8.219166592315814,16.3,26.4,25.0,7072.0
1550638175.0,405.4580884599597,424.4311547506449,243.61074906062842,8.530373368209387,16.3,27.4,25.0,7074.0
1550638295.0,405.3555035573126,424.6658264737425,244.4836177263857,8.330874969162295,16.3,27.9,25.0,7076.0
